year,fips,annual_avg_emplvl,annual_avg_wkly_wage,total_annual_wages,annual_avg_estabs
2015,01001,1804,442,41424389,146
2015,01003,13568,497,350607522,998
2015,01005,942,438,21425338,89
2015,01007,492,460,11746285,52
2015,01009,1090,445,25198996,122
2015,01011,203,393,4140887,23
2015,01013,886,427,19666112,96
2015,01015,5889,468,143360294,468
2015,01017,1081,438,24644973,102
2015,01019,872,491,22251541,79
2015,01021,1458,480,36425335,138
2015,01023,401,396,8257523,48
2015,01025,1375,460,32902466,129
2015,01027,294,372,5690358,38
2015,01029,317,557,9194352,39
2015,01031,2332,532,64467350,181
2015,01033,2800,552,80325581,227
2015,01035,304,359,5680480,37
2015,01037,77,382,1520969,20
2015,01039,1897,464,45720432,189
2015,01041,262,378,5159745,33
2015,01043,3710,501,96591848,333
2015,01045,1201,443,27692161,130
2015,01047,1654,453,38949234,164
2015,01049,2255,501,58761655,234
2015,01051,3610,467,87704729,221
2015,01053,1742,488,44208082,175
2015,01055,4535,468,110410112,378
2015,01057,586,475,14475100,57
2015,01059,982,461,23510046,102
2015,01061,805,407,17037759,91
2015,01063,173,348,3131155,26
2015,01065,293,446,6806155,48
2015,01067,374,456,8851716,50
2015,01069,8196,519,221028534,574
2015,01071,2278,427,50619567,180
2015,01073,38202,546,1084230804,2737
2015,01075,331,496,8543142,43
2015,01077,5195,468,126447047,413
2015,01079,789,486,19930864,80
2015,01081,6812,458,162287194,486
2015,01083,3193,555,92102433,249
2015,01085,174,364,3284993,22
2015,01087,440,367,8386005,44
2015,01089,20585,517,553090057,1328
2015,01091,834,460,19933954,96
2015,01093,1096,449,25594848,107
2015,01095,4701,481,117539303,412
2015,01097,20302,523,552197986,1535
2015,01099,867,435,19605529,91
2015,01101,12302,545,348916920,932
2015,01103,5530,501,144063518,451
2015,01105,190,374,3683069,31
2015,01107,408,430,9111934,57
2015,01109,1431,436,32460926,128
2015,01111,712,440,16287809,75
2015,01113,2086,471,51085093,153
2015,01115,3062,445,70868114,228
2015,01117,10648,572,316798497,704
2015,01119,315,348,5706563,42
2015,01121,2576,463,62005262,250
2015,01123,1474,472,36186233,151
2015,01125,10382,490,264470874,741
2015,01127,3337,505,87555867,275
2015,01129,247,406,5212413,27
2015,01131,254,414,5457290,42
2015,01133,768,448,17881101,86
2015,01999,1083,1380,77727072,156
2015,02013,50,430,1112610,6
2015,02016,205,867,9239779,19
2015,02020,18059,617,579814657,823
2015,02050,757,377,14837342,55
2015,02060,0,0,0,10
2015,02068,54,408,1148588,12
2015,02070,181,445,4195986,15
2015,02090,4882,608,154391403,260
2015,02100,139,458,3300365,18
2015,02105,69,415,1495944,17
2015,02110,1933,550,55313611,143
2015,02122,2690,552,77260827,234
2015,02130,917,621,29593359,98
2015,02150,477,546,13539557,34
2015,02158,156,342,2778940,13
2015,02164,14,543,407270,6
2015,02170,3919,558,113759257,214
2015,02180,354,565,10382886,36
2015,02185,242,838,10558348,22
2015,02188,0,0,0,16
2015,02195,181,487,4585496,25
2015,02198,252,448,5864328,26
2015,02220,453,507,11960419,57
2015,02230,167,577,4995196,38
2015,02240,210,521,5673641,32
2015,02261,345,581,10419414,49
2015,02270,152,349,2760904,13
2015,02275,104,527,2843363,12
2015,02282,0,0,0,3
2015,02290,138,592,4260047,35
2015,02999,65,1040,3498465,28
2015,04001,965,392,19662759,60
2015,04003,4617,461,110747159,319
2015,04005,7367,499,191338955,486
2015,04007,1802,464,43510706,121
2015,04009,1370,507,36107772,80
2015,04011,152,597,4708949,14
2015,04012,1127,423,24778076,70
2015,04013,221751,624,7200821527,9491
2015,04015,8494,516,227976544,511
2015,04017,3781,480,94378684,239
2015,04019,41792,538,1169876583,2252
2015,04021,7378,488,187195036,407
2015,04023,2298,452,54052175,201
2015,04025,9111,505,239042657,688
2015,04027,7664,554,220934338,404
2015,04999,547,1404,39963702,121
2015,05001,1055,467,25597153,96
2015,05003,731,415,15776857,68
2015,05005,2334,439,53269588,205
2015,05007,11936,500,310095190,698
2015,05009,2022,488,51334284,155
2015,05011,348,370,6695338,40
2015,05013,0,0,0,12
2015,05015,1159,413,24877640,151
2015,05017,323,438,7367938,38
2015,05019,1169,478,29052271,92
2015,05021,417,486,10558457,49
2015,05023,974,479,24237294,98
2015,05025,56,395,1145540,17
2015,05027,1010,422,22138734,98
2015,05029,862,447,20028410,85
2015,05031,6937,460,166048116,458
2015,05033,2005,499,51963548,164
2015,05035,2009,435,45442123,166
2015,05037,794,503,20760403,75
2015,05039,350,471,8557238,38
2015,05041,495,397,10211966,64
2015,05043,993,428,22107518,86
2015,05045,5935,482,148754747,413
2015,05047,627,443,14422669,54
2015,05049,189,369,3621877,31
2015,05051,5905,492,150954964,495
2015,05053,483,442,11106444,44
2015,05055,1799,462,43201700,158
2015,05057,879,437,19973853,78
2015,05059,879,431,19689068,94
