company,ticker,country,year,revenue,capex,sga,assets,net_income,capex_intensity,sga_intensity,trustpilot_score,trustpilot_reviews,glassdoor_overall,gd_review_count,eu_ecom_share_pct,uk_internet_sales_pct,ecom_share,log_revenue,log_assets,net_margin,ecom2,capex_intensity_z,glassdoor_overall_z,trustpilot_score_z,sga_intensity_z,K_x_W_z,K_x_T_z,capex_intensity_z_L1,glassdoor_overall_z_L1,trustpilot_score_L1,K_x_W_z_L1,covid,time_trend,capex_intensity_bar,glassdoor_overall_bar,trustpilot_score_bar
Primark/ABF,ABF.L,GB,2021,,,,,,,,1.8,1000.0,3.2,1150.0,23.0,26.0,26.0,,,,676.0,,-0.08614885420000815,-0.3268854427610818,,,,,,,,1,2,0.057749999999999996,3.14,1.7333333333333334
Primark/ABF,ABF.L,GB,2021,,,,,,,,1.8,1000.0,3.2,1150.0,23.0,26.0,26.0,,,,676.0,,-0.08614885420000815,-0.3268854427610818,,,,,-0.08614885420000815,1.8,,1,2,0.057749999999999996,3.14,1.7333333333333334
Primark/ABF,ABF.L,GB,2022,,,,,,,,1.7,1400.0,3.1,1300.0,22.0,25.5,25.5,,,,650.25,,-0.7322652607000764,-0.4254317894758197,,,,,-0.08614885420000815,1.8,,0,3,0.057749999999999996,3.14,1.7333333333333334
Primark/ABF,ABF.L,GB,2023,19750000000.0,1073000000.0,2823000000.0,18844000000.0,1044000000.0,0.0543,0.1429,1.7,1800.0,3.1,1450.0,22.0,26.0,26.0,23.706419328293542,23.659460397784205,0.05286075949367089,676.0,1.3689441785909409,-0.7322652607000764,-0.4254317894758197,-0.28943680281044804,-1.0024302658197473,-0.5823923715904501,,-0.7322652607000764,1.7,,0,4,0.057749999999999996,3.14,1.7333333333333334
Primark/ABF,ABF.L,GB,2023,19750000000.0,1073000000.0,2823000000.0,18844000000.0,1044000000.0,0.0543,0.1429,1.7,1800.0,3.1,1450.0,22.0,26.0,26.0,23.706419328293542,23.659460397784205,0.05286075949367089,676.0,1.3689441785909409,-0.7322652607000764,-0.4254317894758197,-0.28943680281044804,-1.0024302658197473,-0.5823923715904501,1.3689441785909409,-0.7322652607000764,1.7,-1.0024302658197473,0,4,0.057749999999999996,3.14,1.7333333333333334
Primark/ABF,ABF.L,GB,2024,20073000000.0,1184000000.0,3048000000.0,19014000000.0,1455000000.0,0.059,0.1518,1.7,2200.0,,,23.0,26.5,26.5,23.7226414654152,23.66844138688325,0.07248542818711702,702.25,1.7012329348883573,,-0.4254317894758197,-0.22531670762343886,,-0.7237585718047546,1.3689441785909409,-0.7322652607000764,1.7,-1.0024302658197473,0,5,0.057749999999999996,3.14,1.7333333333333334
Primark/ABF,ABF.L,GB,2025,19459000000.0,1234000000.0,3078000000.0,19291000000.0,1025000000.0,0.0634,0.1582,,,,,,,,23.69157552492243,23.682904502852164,0.052674854822961095,,2.012311770571045,,,-0.1792078751294096,,,1.7012329348883573,,1.7,,0,6,0.057749999999999996,3.14,1.7333333333333334
Ahold Delhaize,AD.AS,NL,2021,,,,,,,,1.4,2000.0,3.3,800.0,23.0,26.0,23.0,,,,529.0,,0.5599675523000572,-0.7210708296200333,,,,,,,,1,2,0.027375,3.2999999999999994,1.4
Ahold Delhaize,AD.AS,NL,2022,86984000000.0,2490000000.0,20190000000.0,48555000000.0,2546000000.0,0.0286,0.2321,1.4,2500.0,3.3,900.0,22.0,25.5,22.0,25.18899003064186,24.605963012992728,0.029269750758760232,484.0,-0.4480390207374863,0.5599675523000572,-0.7210708296200333,0.353205050075083,-0.2508873137772848,0.3230678683853266,,0.5599675523000572,1.4,,0,3,0.027375,3.2999999999999994,1.4
Ahold Delhaize,AD.AS,NL,2023,88734000000.0,2434000000.0,21422000000.0,47821000000.0,1874000000.0,0.0274,0.2414,1.4,2800.0,3.3,1000.0,22.0,26.0,22.0,25.208908967359097,24.590730710510346,0.021119300380913742,484.0,-0.5328787031964012,0.5599675523000572,-0.7210708296200333,0.4202069472929691,-0.29839478310171746,0.3842432886006765,-0.4480390207374863,0.5599675523000572,1.4,-0.2508873137772848,0,4,0.027375,3.2999999999999994,1.4
