company,ticker,year,cap_software_gross,cap_software_net,cap_software_additions,cap_software_amort,intangibles_net,rd_expense,emp_liab_current,emp_liab_total,revenue,cap_software_gross_rev,intangibles_net_rev,rd_expense_rev,emp_liab_current_rev
Amazon,AMZN,2008,,,187000000,143000000,,,,,19166000000,,,,
Amazon,AMZN,2009,,,35000000,172000000,,,,,4889000000,,,,
Amazon,AMZN,2010,,,38000000,184000000,,,,,7131000000,,,,
Amazon,AMZN,2011,623000000,,51000000,236000000,,,,,9857000000,0.063204,,,
Amazon,AMZN,2012,866000000,,74000000,327000000,,,,,9857000000,0.087856,,,
Amazon,AMZN,2013,1100000000,,87000000,451000000,,,,,16070000000,0.068451,,,
Amazon,AMZN,2014,1300000000,,641000000,559000000,,,,,19741000000,0.065853,,,
Amazon,AMZN,2015,1400000000,,642000000,635000000,,,,,22717000000,0.061628,,,
Amazon,AMZN,2016,1400000000,,511000000,634000000,854000000,,,,29128000000,0.048064,0.029319,,
Amazon,AMZN,2017,1100000000,,395000000,545000000,3371000000,,,2900000000,35714000000,0.0308,0.094389,,
Amazon,AMZN,2018,,,,,4110000000,,,3400000000,51042000000,,0.080522,,
Amazon,AMZN,2019,,,,,4049000000,,,4300000000,59700000000,,0.067822,,
Amazon,AMZN,2020,,,,,4981000000,,7600000000,7600000000,75452000000,,0.066015,,0.100726
Amazon,AMZN,2021,,,,,5107000000,,9100000000,,469822000000,,0.01087,,0.019369
Amazon,AMZN,2022,,,,,6097000000,,7700000000,,513983000000,,0.011862,,0.014981
Amazon,AMZN,2023,,,,,7687000000,,7700000000,,574785000000,,0.013374,,0.013396
Amazon,AMZN,2024,,,,,8602000000,,7500000000,,637959000000,,0.013484,,0.011756
Amazon,AMZN,2025,,,,,9197000000,,10500000000,,716924000000,,0.012828,,0.014646
Best Buy,BBY,2008,,,,,,,,,40023000000,,,,
Best Buy,BBY,2009,,,,,,,459000000,,45015000000,,,,0.010197
Best Buy,BBY,2010,,,,,,,544000000,,49694000000,,,,0.010947
Best Buy,BBY,2011,,,,,,,570000000,,249000000,,,,2.289157
Best Buy,BBY,2012,,,,,,,539000000,,189000000,,,,2.851852
Best Buy,BBY,2013,,,,,,,520000000,,39827000000,,,,0.013056
Best Buy,BBY,2014,,,,,,,444000000,,42410000000,,,,0.010469
Best Buy,BBY,2015,,,,,,,372000000,,40339000000,,,,0.009222
Best Buy,BBY,2016,,,,,,,384000000,,39528000000,,,,0.009715
