query,repo,stars,description,url
retail store customer satisfaction data,nikunjk9/Market-Segmentation-and-Product-Development-Strategies,3,Analyzing customer data of an Online retail store using Python and provide insight about the purchase trends of customers helping the retail store to make effective product development strategies to i,https://github.com/nikunjk9/Market-Segmentation-and-Product-Development-Strategies
retail store customer satisfaction data,vish1007/Online-Retail-Customer-Segmentation,2,The aim of the project is to analyze the transaction data set of a UK-based non-store online retail business specializing in unique all-occasion gifts.The project aims to identify customer segments to,https://github.com/vish1007/Online-Retail-Customer-Segmentation
retail store customer satisfaction data,ManthanBalla/Integrated-Retail-Analytics-for-Store-Optimization,1,Integrated Retail Analytics for Store Optimization  This project aims to develop a comprehensive data-driven solution to optimize retail store operations and enhance overall business performance. By i,https://github.com/ManthanBalla/Integrated-Retail-Analytics-for-Store-Optimization
retail store customer satisfaction data,sumit18950/Project-Mall-Customer-Segmentation,1,"The primary objective of this project is to analyze customer data from a retail store and segment  customers into distinct groups based on their purchasing behavior. By identifying these segments,  th",https://github.com/sumit18950/Project-Mall-Customer-Segmentation
retail store customer satisfaction data,KULDEEP220/Customers_Retention_Data_Analysis,1,"Customer satisfaction has emerged as one of the most important factors that guarantee the success of online store; it has been posited as a key stimulant of purchase, repurchase intentions and custome",https://github.com/KULDEEP220/Customers_Retention_Data_Analysis
target store ratings dataset,zvdas/App-Rating-Prediction,5,"Objective: Make a model to predict the app rating, with other information about the app provided. Problem Statement: Google Play Store team is about to launch a new feature wherein, certain apps that ",https://github.com/zvdas/App-Rating-Prediction
target store ratings dataset,SalimYs/Google-PlayStore-Data,0,"I did data cleaning and EDA , and Machine learning (Classification, clustering, Regression ) on this dataset, my target was the Rating, https://www.kaggle.com/datasets/lava18/google-play-store-apps , ",https://github.com/SalimYs/Google-PlayStore-Data
target store ratings dataset,PrashantWaghela24/User-Rating-Category-Prediction-for-Apple-Store-Applications,0,The App Rating prediction has been a topic of interest in recent years. The challenging part was to identify a computationally low and cost-efficient algorithm that provided decent results. Target cla,https://github.com/PrashantWaghela24/User-Rating-Category-Prediction-for-Apple-Store-Applications
store level customer ratings,somguptaa/Online-BookStore,2,"A fully functional Spring Boot Online Bookstore Application designed with enterprise-level architecture and real-world production features. It includes JWT authentication, dual database integration, f",https://github.com/somguptaa/Online-BookStore
store level customer ratings,Eedrizgit/CRYSTAL-BABS-CUSTOMER-INSIGHTS,0,"This project analyzes the sales trends and customer behavior of Crystal Babs Retail Store to understand what drives customer purchases. It looks at how income level, marital status, age group, and pro",https://github.com/Eedrizgit/CRYSTAL-BABS-CUSTOMER-INSIGHTS
store level customer ratings,Shivansh007-A/Blinkit-Dashboard,0,"The dashboard showcases total and average sales across various item types, fat content levels, and product ratings, offering deep insights into customer preferences. It analyzes establishment year, ou",https://github.com/Shivansh007-A/Blinkit-Dashboard
